citation,year,decision_label,n_issues,merits_grants,procedural_reopen_grants,denied,remanded,dismissed
24000230,2024,merits_grant,7,3,0,0,4,0
24000231,2024,merits_grant,3,1,0,0,2,0
24000232,2024,no_merits_grant,1,0,0,0,1,0
24000233,2024,no_merits_grant,1,0,0,0,0,1
24000234,2024,no_merits_grant,4,0,0,0,4,0
24000235,2024,no_merits_grant,3,0,0,0,3,0
24000236,2024,no_merits_grant,1,0,0,0,1,0
24000237,2024,no_merits_grant,8,0,0,0,8,0
24000238,2024,no_merits_grant,2,0,0,0,2,0
24000239,2024,fully_affirmed,1,0,0,1,0,0
24000240,2024,merits_grant,3,2,0,1,0,0
24000241,2024,no_merits_grant,18,0,0,7,11,0
24000242,2024,merits_grant,2,1,0,0,0,1
24000243,2024,merits_grant,3,1,0,1,1,0
24000244,2024,merits_grant,1,1,0,0,0,0
24000245,2024,fully_affirmed,1,0,0,1,0,0
24000246,2024,no_merits_grant,1,0,0,0,1,0
24000247,2024,no_merits_grant,2,0,0,0,2,0
24000248,2024,merits_grant,1,1,0,0,0,0
24000249,2024,fully_affirmed,1,0,0,1,0,0
24000250,2024,no_merits_grant,1,0,0,0,1,0
24000251,2024,no_merits_grant,2,0,0,0,2,0
24000252,2024,merits_grant,8,5,0,0,3,0
24000253,2024,no_merits_grant,1,0,0,0,1,0
24000254,2024,no_merits_grant,2,0,0,0,2,0
24000255,2024,merits_grant,9,5,0,0,4,0
24000256,2024,no_merits_grant,1,0,0,0,1,0
24000257,2024,merits_grant,10,1,0,3,6,0
24000258,2024,fully_affirmed,1,0,0,1,0,0
24000259,2024,merits_grant,14,12,2,0,0,0
24000260,2024,fully_affirmed,11,0,0,11,0,0
24000261,2024,merits_grant,1,1,0,0,0,0
24000262,2024,no_merits_grant,1,0,0,0,1,0
24000263,2024,merits_grant,5,1,0,1,3,0
24000264,2024,no_merits_grant,4,0,0,0,4,0
24000265,2024,no_merits_grant,2,0,0,0,2,0
24000266,2024,no_merits_grant,5,0,0,2,3,0
24000267,2024,no_merits_grant,3,0,0,0,3,0
24000268,2024,no_merits_grant,3,0,0,0,2,1
24000269,2024,no_merits_grant,5,0,0,0,5,0
24000270,2024,merits_grant,6,5,0,1,0,0
24000271,2024,merits_grant,9,2,0,3,4,0
24000272,2024,merits_grant,4,1,0,0,3,0
24000273,2024,no_merits_grant,4,0,0,0,4,0
24000274,2024,no_merits_grant,1,0,0,0,0,1
24000275,2024,merits_grant,4,3,0,1,0,0
24000276,2024,no_merits_grant,1,0,0,0,1,0
24000277,2024,merits_grant,3,1,0,0,1,1
24000278,2024,merits_grant,3,2,0,1,0,0
24000279,2024,merits_grant,4,2,0,2,0,0
24000280,2024,merits_grant,1,1,0,0,0,0
24000281,2024,merits_grant,14,3,0,1,10,0
24000282,2024,no_merits_grant,6,0,5,1,0,0
24000283,2024,no_merits_grant,2,0,0,1,1,0
24000284,2024,merits_grant,1,1,0,0,0,0
24000285,2024,fully_affirmed,1,0,0,1,0,0
24000286,2024,no_merits_grant,1,0,0,0,1,0
24000287,2024,no_merits_grant,3,0,0,0,3,0
24000288,2024,no_merits_grant,1,0,0,0,1,0
24000289,2024,no_merits_grant,3,0,0,0,3,0
24000290,2024,merits_grant,5,1,0,3,1,0
24000291,2024,no_merits_grant,1,0,0,0,0,1
24000292,2024,merits_grant,3,1,0,1,1,0
24000293,2024,merits_grant,3,1,0,2,0,0
24000294,2024,merits_grant,3,1,0,1,1,0
24000295,2024,no_merits_grant,1,0,0,0,1,0
24000296,2024,no_merits_grant,1,0,0,0,1,0
24000297,2024,fully_affirmed,1,0,0,1,0,0
24000298,2024,no_merits_grant,1,0,0,0,1,0
24000299,2024,no_merits_grant,1,0,0,0,1,0
24000300,2024,merits_grant,14,7,0,7,0,0
24000301,2024,no_merits_grant,2,0,0,0,2,0
24000302,2024,merits_grant,4,2,0,1,1,0
24000303,2024,fully_affirmed,2,0,0,2,0,0
24000304,2024,no_merits_grant,5,0,0,2,3,0
24000305,2024,no_merits_grant,15,0,0,6,9,0
24000306,2024,merits_grant,17,3,1,11,2,0
24000307,2024,merits_grant,3,1,0,2,0,0
24000308,2024,merits_grant,5,1,0,2,2,0
24000309,2024,merits_grant,18,7,0,1,7,3
24000310,2024,merits_grant,15,1,0,3,11,0
24000311,2024,no_merits_grant,4,0,0,3,1,0
24000312,2024,no_merits_grant,2,0,0,1,1,0
24000313,2024,merits_grant,4,4,0,0,0,0
24000314,2024,fully_affirmed,2,0,0,2,0,0
24000315,2024,no_merits_grant,13,0,0,2,11,0
24000316,2024,fully_affirmed,3,0,0,3,0,0
24000317,2024,no_merits_grant,6,0,0,4,2,0
24000318,2024,no_merits_grant,2,0,0,0,2,0
24000319,2024,fully_affirmed,3,0,0,3,0,0
24000320,2024,merits_grant,3,1,0,1,0,1
24000321,2024,no_merits_grant,2,0,0,0,2,0
24000322,2024,no_merits_grant,1,0,0,0,0,1
24000323,2024,no_merits_grant,2,0,0,0,0,2
24000324,2024,no_merits_grant,34,0,0,22,12,0
24000325,2024,merits_grant,3,2,1,0,0,0
24000326,2024,no_merits_grant,1,0,0,0,0,1
24000327,2024,no_merits_grant,6,0,0,0,6,0
24000328,2024,merits_grant,1,1,0,0,0,0
24000329,2024,no_merits_grant,3,0,0,1,2,0
24000330,2024,merits_grant,1,1,0,0,0,0
24000331,2024,merits_grant,1,1,0,0,0,0
24000332,2024,no_merits_grant,2,0,0,0,2,0
24000333,2024,no_merits_grant,2,0,0,0,2,0
24000334,2024,no_merits_grant,2,0,0,0,0,2
24000335,2024,no_merits_grant,2,0,0,0,2,0
24000336,2024,merits_grant,6,6,0,0,0,0
24000337,2024,merits_grant,1,1,0,0,0,0
24000338,2024,no_merits_grant,3,0,0,0,3,0
24000339,2024,no_merits_grant,1,0,0,0,1,0
24000340,2024,merits_grant,2,1,0,0,1,0
24000341,2024,no_merits_grant,3,0,0,0,3,0
24000342,2024,merits_grant,5,3,0,0,2,0
24000343,2024,merits_grant,1,1,0,0,0,0
24000344,2024,no_merits_grant,1,0,0,0,1,0
24000345,2024,merits_grant,2,1,0,1,0,0
24000346,2024,merits_grant,4,1,0,0,3,0
24000347,2024,no_merits_grant,7,0,0,2,5,0
24000348,2024,merits_grant,6,2,0,0,2,2
24000349,2024,fully_affirmed,2,0,0,2,0,0
24000350,2024,no_merits_grant,3,0,0,0,0,3
24000351,2024,fully_affirmed,1,0,0,1,0,0
24000352,2024,no_merits_grant,13,0,0,0,0,13
24000353,2024,merits_grant,2,1,0,1,0,0
24000354,2024,no_merits_grant,3,0,0,1,2,0
24000355,2024,no_merits_grant,2,0,0,1,0,1
24000356,2024,no_merits_grant,3,0,0,0,3,0
24000357,2024,no_merits_grant,1,0,0,0,1,0
24000358,2024,no_merits_grant,2,0,0,0,2,0
24000359,2024,no_merits_grant,1,0,0,0,1,0
24000360,2024,merits_grant,1,1,0,0,0,0
24000361,2024,no_merits_grant,9,0,0,2,7,0
24000362,2024,no_merits_grant,2,0,0,1,1,0
24000363,2024,merits_grant,4,1,0,0,3,0
24000364,2024,merits_grant,4,4,0,0,0,0
24000365,2024,merits_grant,3,2,0,0,0,1
24000366,2024,merits_grant,4,2,0,2,0,0
24000367,2024,fully_affirmed,2,0,0,2,0,0
24000368,2024,no_merits_grant,2,0,0,0,0,2
24000369,2024,no_merits_grant,2,0,0,1,1,0
24000370,2024,fully_affirmed,1,0,0,1,0,0
24000371,2024,no_merits_grant,1,0,0,0,1,0
24000372,2024,no_merits_grant,1,0,0,0,1,0
24000373,2024,no_merits_grant,3,0,0,0,3,0
24000374,2024,merits_grant,14,13,0,0,0,1
24000375,2024,no_merits_grant,1,0,0,0,1,0
24000376,2024,merits_grant,7,3,0,4,0,0
24000377,2024,no_merits_grant,4,0,0,0,4,0
24000378,2024,no_merits_grant,1,0,0,0,1,0
24000379,2024,no_merits_grant,1,0,0,0,0,1
24000380,2024,merits_grant,4,1,0,3,0,0
24000381,2024,no_merits_grant,1,0,0,0,0,1
24000382,2024,merits_grant,1,1,0,0,0,0
24000383,2024,merits_grant,3,2,1,0,0,0
24000384,2024,merits_grant,5,2,0,0,0,3
24000385,2024,no_merits_grant,2,0,0,0,0,2
24000386,2024,no_merits_grant,2,0,0,0,2,0
24000387,2024,no_merits_grant,1,0,0,0,1,0
24000388,2024,no_merits_grant,4,0,0,0,4,0
24000389,2024,fully_affirmed,9,0,0,9,0,0
24000390,2024,no_merits_grant,1,0,0,0,1,0
24000391,2024,no_merits_grant,5,0,0,0,5,0
24000392,2024,merits_grant,4,2,0,0,2,0
24000393,2024,no_merits_grant,2,0,0,0,2,0
24000394,2024,fully_affirmed,1,0,0,1,0,0
24000395,2024,fully_affirmed,2,0,0,2,0,0
24000396,2024,no_merits_grant,2,0,0,0,2,0
24000397,2024,no_merits_grant,1,0,0,0,1,0
24000398,2024,no_merits_grant,1,0,0,0,1,0
24000399,2024,no_merits_grant,1,0,0,0,1,0
24000400,2024,no_merits_grant,1,0,0,0,1,0
24000401,2024,merits_grant,3,3,0,0,0,0
24000402,2024,no_merits_grant,1,0,0,0,1,0
24000403,2024,no_merits_grant,2,0,0,0,2,0
24000404,2024,no_merits_grant,2,0,0,1,1,0
24000405,2024,no_merits_grant,1,0,0,0,1,0
24000406,2024,no_merits_grant,3,0,0,2,1,0
24000407,2024,merits_grant,5,2,0,1,0,2
24000408,2024,no_merits_grant,9,0,0,0,9,0
24000409,2024,no_merits_grant,7,0,0,0,7,0
24000410,2024,no_merits_grant,1,0,0,0,1,0
24000411,2024,no_merits_grant,2,0,0,0,2,0
24000412,2024,no_merits_grant,1,0,0,0,1,0
24000413,2024,no_merits_grant,2,0,0,1,1,0
24000414,2024,no_merits_grant,1,0,0,0,1,0
24000415,2024,no_disposition_parsed,0,0,0,0,0,0
24000416,2024,merits_grant,3,1,0,2,0,0
24000417,2024,merits_grant,8,4,3,0,1,0
24000418,2024,no_merits_grant,1,0,0,0,1,0
24000419,2024,no_merits_grant,1,0,0,0,1,0
24000420,2024,no_merits_grant,7,0,0,0,7,0
24000421,2024,no_merits_grant,1,0,0,0,1,0
24000422,2024,no_merits_grant,2,0,0,0,2,0
24000423,2024,no_merits_grant,1,0,0,0,1,0
24000424,2024,merits_grant,4,1,0,0,3,0
24000425,2024,fully_affirmed,1,0,0,1,0,0
24000426,2024,fully_affirmed,1,0,0,1,0,0
24000427,2024,merits_grant,2,2,0,0,0,0
24000428,2024,fully_affirmed,2,0,0,2,0,0
24000429,2024,merits_grant,2,1,0,1,0,0
24000430,2024,merits_grant,4,1,1,0,2,0
24000431,2024,merits_grant,7,2,0,5,0,0
24000432,2024,no_merits_grant,3,0,0,0,0,3
24000433,2024,fully_affirmed,1,0,0,1,0,0
24000434,2024,merits_grant,2,1,0,0,1,0
24000435,2024,fully_affirmed,1,0,0,1,0,0
24000436,2024,no_merits_grant,5,0,0,0,5,0
24000437,2024,no_merits_grant,6,0,0,2,4,0
24000438,2024,merits_grant,7,4,0,1,2,0
24000439,2024,no_merits_grant,5,0,0,0,5,0
24000440,2024,no_merits_grant,1,0,0,0,0,1
24000441,2024,merits_grant,3,1,0,0,2,0
24000442,2024,merits_grant,6,1,0,2,3,0
24000443,2024,merits_grant,7,1,0,4,2,0
24000444,2024,fully_affirmed,1,0,0,1,0,0
24000445,2024,no_merits_grant,7,0,0,0,7,0
24000446,2024,no_merits_grant,4,0,0,0,4,0
24000447,2024,merits_grant,6,4,0,2,0,0
24000448,2024,merits_grant,8,2,0,0,6,0
24000449,2024,merits_grant,13,13,0,0,0,0
24000450,2024,merits_grant,1,1,0,0,0,0
24000451,2024,no_merits_grant,4,0,0,0,0,4
24000452,2024,merits_grant,2,1,0,0,1,0
24000453,2024,merits_grant,2,1,0,0,1,0
24000454,2024,merits_grant,10,2,3,0,4,1
24000455,2024,no_merits_grant,2,0,0,1,1,0
24000456,2024,no_merits_grant,9,0,0,0,9,0
24000457,2024,fully_affirmed,2,0,0,2,0,0
24000458,2024,merits_grant,2,1,0,0,1,0
24000459,2024,merits_grant,10,1,0,0,9,0
24000460,2024,no_merits_grant,1,0,0,0,1,0
24000461,2024,no_merits_grant,2,0,1,0,1,0
24000462,2024,no_merits_grant,11,0,0,0,9,2
24000463,2024,no_merits_grant,2,0,0,0,2,0
24000464,2024,no_merits_grant,5,0,0,1,4,0
24000465,2024,no_merits_grant,7,0,0,1,6,0
24000466,2024,merits_grant,3,2,0,1,0,0
24000467,2024,merits_grant,5,1,0,0,4,0
24000468,2024,merits_grant,8,8,0,0,0,0
24000469,2024,no_merits_grant,1,0,0,0,1,0
24000470,2024,fully_affirmed,9,0,0,9,0,0
24000471,2024,merits_grant,3,1,0,2,0,0
24000472,2024,merits_grant,1,1,0,0,0,0
24000473,2024,merits_grant,1,1,0,0,0,0
24000474,2024,no_merits_grant,1,0,0,0,1,0
24000475,2024,merits_grant,2,1,0,0,0,1
24000476,2024,merits_grant,9,5,0,4,0,0
24000477,2024,no_merits_grant,1,0,0,0,1,0
24000478,2024,no_merits_grant,1,0,0,0,1,0
24000479,2024,no_merits_grant,1,0,0,0,1,0
24000480,2024,merits_grant,1,1,0,0,0,0
24000481,2024,merits_grant,2,2,0,0,0,0
24000482,2024,fully_affirmed,1,0,0,1,0,0
24000483,2024,no_merits_grant,3,0,0,0,3,0
24000484,2024,no_merits_grant,1,0,0,0,1,0
24000485,2024,fully_affirmed,1,0,0,1,0,0
24000486,2024,fully_affirmed,3,0,0,3,0,0
24000487,2024,no_merits_grant,1,0,0,0,1,0
24000488,2024,no_merits_grant,3,0,0,0,3,0
24000489,2024,no_merits_grant,1,0,0,0,1,0
24000490,2024,no_merits_grant,1,0,0,0,1,0
24000491,2024,fully_affirmed,4,0,0,4,0,0
24000492,2024,no_merits_grant,1,0,0,0,0,1
24000493,2024,fully_affirmed,4,0,0,4,0,0
24000494,2024,no_merits_grant,1,0,0,0,0,1
24000495,2024,fully_affirmed,6,0,0,6,0,0
24000496,2024,merits_grant,11,3,0,2,0,6
24000497,2024,no_merits_grant,3,0,0,2,1,0
24000498,2024,fully_affirmed,1,0,0,1,0,0
24000499,2024,fully_affirmed,1,0,0,1,0,0
24000500,2024,no_merits_grant,4,0,0,0,4,0
24000501,2024,no_merits_grant,3,0,0,0,3,0
24000502,2024,fully_affirmed,1,0,0,1,0,0
24000503,2024,no_merits_grant,1,0,0,0,1,0
24000504,2024,no_merits_grant,1,0,0,0,1,0
24000505,2024,no_merits_grant,1,0,0,0,1,0
24000506,2024,merits_grant,1,1,0,0,0,0
24000507,2024,fully_affirmed,1,0,0,1,0,0
24000508,2024,no_merits_grant,1,0,0,0,1,0
24000509,2024,no_merits_grant,2,0,0,0,2,0
24000510,2024,merits_grant,1,1,0,0,0,0
24000511,2024,merits_grant,9,7,0,2,0,0
24000512,2024,no_merits_grant,5,0,0,0,5,0
24000513,2024,no_merits_grant,3,0,1,0,2,0
24000514,2024,merits_grant,3,1,0,0,2,0
24000515,2024,no_merits_grant,3,0,0,0,3,0
24000516,2024,fully_affirmed,2,0,0,2,0,0
24000517,2024,merits_grant,6,1,0,2,3,0
24000518,2024,no_merits_grant,1,0,0,0,0,1
24000519,2024,no_merits_grant,2,0,0,0,2,0
24000520,2024,merits_grant,7,3,0,3,1,0
24000521,2024,no_merits_grant,1,0,0,0,1,0
24000522,2024,no_merits_grant,8,0,0,0,0,8
24000523,2024,no_merits_grant,2,0,0,0,2,0
24000524,2024,no_merits_grant,4,0,0,0,4,0
24000525,2024,fully_affirmed,3,0,0,3,0,0
24000526,2024,merits_grant,16,2,0,0,7,7
24000527,2024,merits_grant,6,3,0,1,2,0
24000528,2024,merits_grant,1,1,0,0,0,0
24000529,2024,merits_grant,2,1,0,1,0,0
24000530,2024,fully_affirmed,1,0,0,1,0,0
